jisCode,totalGeneralHouseholds,elderlySingleHouseholds,elderlyCoupleHouseholds,sourceUrl,updatedAt
01100,967372,121789,110890,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445284,2021-11-30
01101,141223,16447,11059,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445284,2021-11-30
01102,139449,16690,15765,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445284,2021-11-30
01103,130904,16049,13364,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445284,2021-11-30
01104,108077,13696,9749,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445284,2021-11-30
01105,118472,14735,11223,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445284,2021-11-30
01106,61919,9644,10457,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445284,2021-11-30
01107,103655,13435,12441,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445284,2021-11-30
01108,57190,8480,9271,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445284,2021-11-30
01109,60959,7424,9728,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445284,2021-11-30
01110,45524,5189,7833,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445284,2021-11-30
01202,121455,22337,16719,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445284,2021-11-30
01203,52615,11095,8822,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445284,2021-11-30
01204,155625,24821,24072,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445284,2021-11-30
01205,41660,7410,6481,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445284,2021-11-30
01206,80095,13290,11513,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445284,2021-11-30
01207,79933,11065,10492,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445284,2021-11-30
01208,55024,7846,8404,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445284,2021-11-30
01209,3790,1095,735,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445284,2021-11-30
01210,35476,6056,5774,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445284,2021-11-30
01211,17193,2383,2386,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445284,2021-11-30
01212,9784,1708,1559,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445284,2021-11-30
01213,79962,11075,11128,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445284,2021-11-30
01214,15944,2454,2303,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445284,2021-11-30
