jisCode,prefecture,municipality,population,sourceUrl,updatedAt
01100,北海道,札幌市,1973395,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445078,2021-11-30
01101,北海道,札幌市中央区,248680,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445078,2021-11-30
01102,北海道,札幌市北区,289323,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445078,2021-11-30
01103,北海道,札幌市東区,265379,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445078,2021-11-30
01104,北海道,札幌市白石区,211835,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445078,2021-11-30
01105,北海道,札幌市豊平区,225298,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445078,2021-11-30
01106,北海道,札幌市南区,135777,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445078,2021-11-30
01107,北海道,札幌市西区,217040,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445078,2021-11-30
01108,北海道,札幌市厚別区,125083,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445078,2021-11-30
01109,北海道,札幌市手稲区,142625,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445078,2021-11-30
01110,北海道,札幌市清田区,112355,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445078,2021-11-30
01202,北海道,函館市,251084,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445078,2021-11-30
01203,北海道,小樽市,111299,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445078,2021-11-30
01204,北海道,旭川市,329306,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445078,2021-11-30
01205,北海道,室蘭市,82383,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445078,2021-11-30
01206,北海道,釧路市,165077,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445078,2021-11-30
01207,北海道,帯広市,166536,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445078,2021-11-30
01208,北海道,北見市,115480,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445078,2021-11-30
01209,北海道,夕張市,7334,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445078,2021-11-30
01210,北海道,岩見沢市,79306,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445078,2021-11-30
01211,北海道,網走市,35759,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445078,2021-11-30
01212,北海道,留萌市,20114,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445078,2021-11-30
01213,北海道,苫小牧市,170113,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445078,2021-11-30
01214,北海道,稚内市,33563,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445078,2021-11-30
01215,北海道,美唄市,20413,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445078,2021-11-30
01216,北海道,芦別市,12555,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445078,2021-11-30
01217,北海道,江別市,121056,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445078,2021-11-30
01218,北海道,赤平市,9698,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445078,2021-11-30
01219,北海道,紋別市,21215,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445078,2021-11-30
01220,北海道,士別市,17858,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445078,2021-11-30
01221,北海道,名寄市,27282,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445078,2021-11-30
01222,北海道,三笠市,8040,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445078,2021-11-30
01223,北海道,根室市,24636,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445078,2021-11-30
01224,北海道,千歳市,97950,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445078,2021-11-30
01225,北海道,滝川市,39490,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445078,2021-11-30
01226,北海道,砂川市,16486,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445078,2021-11-30
01227,北海道,歌志内市,2989,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445078,2021-11-30
01228,北海道,深川市,20039,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445078,2021-11-30
01229,北海道,富良野市,21131,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445078,2021-11-30
01230,北海道,登別市,46391,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445078,2021-11-30
01231,北海道,恵庭市,70331,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445078,2021-11-30
01233,北海道,伊達市,32826,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445078,2021-11-30
01234,北海道,北広島市,58171,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445078,2021-11-30
01235,北海道,石狩市,56869,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445078,2021-11-30
01236,北海道,北斗市,44302,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445078,2021-11-30
01303,北海道,当別町,15916,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445078,2021-11-30
01304,北海道,新篠津村,3044,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445078,2021-11-30
01331,北海道,松前町,6260,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445078,2021-11-30
01332,北海道,福島町,3794,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445078,2021-11-30
01333,北海道,知内町,4167,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445078,2021-11-30
01334,北海道,木古内町,3832,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445078,2021-11-30
01337,北海道,七飯町,27686,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445078,2021-11-30
01343,北海道,鹿部町,3760,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445078,2021-11-30
01345,北海道,森町,14338,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445078,2021-11-30
01346,北海道,八雲町,15826,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445078,2021-11-30
01347,北海道,長万部町,5109,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445078,2021-11-30
01361,北海道,江差町,7428,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445078,2021-11-30
01362,北海道,上ノ国町,4306,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445078,2021-11-30
01363,北海道,厚沢部町,3592,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445078,2021-11-30
01364,北海道,乙部町,3403,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445078,2021-11-30
01367,北海道,奥尻町,2410,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445078,2021-11-30
01370,北海道,今金町,5072,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445078,2021-11-30
01371,北海道,せたな町,7398,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445078,2021-11-30
01391,北海道,島牧村,1356,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445078,2021-11-30
01392,北海道,寿都町,2838,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445078,2021-11-30
01393,北海道,黒松内町,2791,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445078,2021-11-30
01394,北海道,蘭越町,4568,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445078,2021-11-30
01395,北海道,ニセコ町,5074,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445078,2021-11-30
01396,北海道,真狩村,2045,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445078,2021-11-30
01397,北海道,留寿都村,1911,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445078,2021-11-30
01398,北海道,喜茂別町,2156,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445078,2021-11-30
01399,北海道,京極町,2941,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445078,2021-11-30
01400,北海道,倶知安町,15129,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445078,2021-11-30
01401,北海道,共和町,5772,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445078,2021-11-30
01402,北海道,岩内町,11648,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445078,2021-11-30
01403,北海道,泊村,1569,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445078,2021-11-30
01404,北海道,神恵内村,870,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445078,2021-11-30
01405,北海道,積丹町,1831,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445078,2021-11-30
01406,北海道,古平町,2745,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445078,2021-11-30
01407,北海道,仁木町,3180,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445078,2021-11-30
01408,北海道,余市町,18000,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445078,2021-11-30
01409,北海道,赤井川村,1165,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445078,2021-11-30
01423,北海道,南幌町,7319,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445078,2021-11-30
01424,北海道,奈井江町,5120,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445078,2021-11-30
01425,北海道,上砂川町,2841,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445078,2021-11-30
01427,北海道,由仁町,4822,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445078,2021-11-30
01428,北海道,長沼町,10289,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445078,2021-11-30
01429,北海道,栗山町,11272,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445078,2021-11-30
01430,北海道,月形町,3691,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445078,2021-11-30
01431,北海道,浦臼町,1732,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445078,2021-11-30
01432,北海道,新十津川町,6484,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445078,2021-11-30
01433,北海道,妹背牛町,2693,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445078,2021-11-30
01434,北海道,秩父別町,2329,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445078,2021-11-30
01436,北海道,雨竜町,2389,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445078,2021-11-30
01437,北海道,北竜町,1724,https://www.e-stat.go.jp/stat-search/files?statdisp_id=0003445078,2021-11-30
